ncols	10								
nrows	10								
xllcorner	0								
yllcorner	0								
cellsize	50								
NODATA_value	-99999								
2800	2756	2711	2667	2622	2578	2533	2489	2444	2400
2756	2708	2661	2614	2569	2523	2477	2430	2382	2332
2711	2661	2612	2562	2515	2468	2421	2371	2320	2263
2667	2614	2562	2509	2462	2414	2364	2313	2257	2195
2622	2567	2512	2457	2409	2359	2308	2254	2195	2185
2578	2520	2462	2405	2355	2304	2251	2195	2185	2175
2533	2473	2413	2352	2302	2250	2195	2185	2175	2165
2489	2426	2363	2300	2248	2195	2185	2175	2165	2155
2444	2379	2313	2247	2195	2185	2175	2165	2155	2145
2400	2332	2263	2195	2185	2175	2165	2155	2145	2135
