ncols        10
nrows        10
xllcorner    0
yllcorner    0
cellsize     50
NODATA_value     -99999
0.0042000	0.0040600	0.0040133	0.0033133	0.0024267	0.0024716	0.0023343	0.0024030	0.0023687	0.0023000
0.0041067	0.0039667	0.0038267	0.0032200	0.0027067	0.0022657	0.0022313	0.0023000	0.0023000	0.0022657
0.0033600	0.0035000	0.0037333	0.0031267	0.0028933	0.0022313	0.0021970	0.0022313	0.0021970	0.0021284
0.0029400	0.0031733	0.0035933	0.0030333	0.0028467	0.0021627	0.0021284	0.0021627	0.0021284	0.0020597
0.0028933	0.0030333	0.0034533	0.0029400	0.0000280	0.0000213	0.0000209	0.0000209	0.0000206	0.0000203
0.0026293	0.0026724	0.0029741	0.0026293	0.0000267	0.0000187	0.0000180	0.0000184	0.0000177	0.0000174
0.0025862	0.0026293	0.0028448	0.0025431	0.0000254	0.0000180	0.0000174	0.0000174	0.0000168	0.0000165
0.0025431	0.0025431	0.0026724	0.0024569	0.0000241	0.0000174	0.0016800	0.0016800	0.0015867	0.0000156
0.0024569	0.0025000	0.0025000	0.0023707	0.0000233	0.0000165	0.0015867	0.0015867	0.0015244	0.0000149
0.0025000	0.0024569	0.0024138	0.0023276	0.0000224	0.0000159	0.0015244	0.0014933	0.0014311	0.0000140
